PUBLIC  ROAD  LENGTH - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILES  BY  FUNCTIONAL SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECEMBER 2016,,,,,,,,,,,,,,,,,TABLE HM-20,,,,,,,,,,,,,,,,,,
,RURAL,,,,,,,,URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTHER,OTHER,,,,,,,OTHER,OTHER,,,,,,,,,,,,,,,,,,,,,,,,
STATE,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,INTERSTATE,FREEWAYS  AND,PRINCIPAL,MINOR,MAJOR,MINOR,LOCAL,TOTAL,TOTAL,,,,,,,,,,,,,,,,,,
,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,EXPRESSWAYS,ARTERIAL,ARTERIAL,COLLECTOR,COLLECTOR,,,,,,,,,,,,,,,,,,,,,
Wisconsin, 512 , 142 ," 2,931 "," 4,746 "," 12,084 "," 8,475 "," 62,824 "," 91,716 ", 363 , 329 ," 1,942 "," 2,711 "," 2,872 ", 0 ," 15,438 "," 23,656 "," 115,372 ",,,,,,,,,,,,,,,,,,
Wyoming, 808 , -," 1,983 "," 1,227 "," 2,731 "," 7,000 "," 12,261 "," 26,010 ", 106 , 3 , 229 , 236 , 516 , 42 ," 1,800 "," 2,931 "," 28,942 ",,,,,,,,,,,,,,,,,,
U.S. Total," 28,990 "," 5,948 "," 89,618 "," 133,016 "," 409,676 "," 257,993 "," 2,020,272 "," 2,945,513 "," 19,063 "," 12,038 "," 66,855 "," 113,592 "," 129,677 "," 13,885 "," 854,104 "," 1,209,214 "," 4,154,727 ",,,,,,,,,,,,,,,,,,
Puerto Rico (1), 43 , -, 44 , 225 , 220 , 242 ," 2,293 "," 3,067 ", 254 , 47 , 379 , 932 ," 1,120 ", 1 ," 11,384 "," 14,116 "," 17,184 ",,,,,,,,,,,,,,,,,,
Grand Total," 29,033 "," 5,948 "," 89,663 "," 133,241 "," 409,895 "," 258,236 "," 2,022,565 "," 2,948,580 "," 19,317 "," 12,085 "," 67,234 "," 114,523 "," 130,797 "," 13,886 "," 865,488 "," 1,223,331 "," 4,171,911 ",,,,,,,,,,,,,,,,,,
  (1)  2014 data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
