Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,ANNUAL TOTAL
CRUISE LLC,AVDT005,5G21A6P03N4121693,0,0,0,0,0,0,0,0,181.81,177.38,406.83,928.55,905.21,2599.78
CRUISE LLC,AVDT005,5G21A6P07N4121695,0,0,0,0,0,0,0,0,59.47,68.35,614.68,813.32,1038.2,2594.02
CRUISE LLC,AVDT005,5G21A6P08P4100096,0,0,0,0,0,0,0,0,0,0,407.34,1004.61,1065.04,2476.99
CRUISE LLC,AVDT005,5G21A6P09N4122105,0,0,0,0,0,0,0,0,382.83,263.63,486.96,256.87,924.73,2315.02
CRUISE LLC,AVDT005,5G21A6P04N4121671,0,0,0,0,0,0,0,0,0,0,437.27,1019.17,872.05,2328.49
CRUISE LLC,AVDT005,5G21A6P0XN4121660,0,0,0,0,0,0,0,0,512.41,308.72,491.3,514.53,654.79,2481.75
CRUISE LLC,AVDT005,5G21A6P07N4122104,0,0,0,0,0,0,0,0,194.04,258.98,307.42,792.74,802.5,2355.68
CRUISE LLC,AVDT005,5G21A6P09N4121696,0,0,0,0,0,0,0,0,275.97,233.95,1002.72,308.36,576.17,2397.17
CRUISE LLC,AVDT005,5G21A6P01N4121658,0,0,0,0,0,0,0,0,184.25,234.38,495.64,501.17,919.35,2334.79
CRUISE LLC,AVDT005,5G21A6P05N4121694,0,0,0,0,0,0,0,0,207.16,317.45,348.76,631.41,880.74,2385.52
CRUISE LLC,AVDT005,5G21A6P07N4122099,0,0,0,0,0,0,0,0,214.54,39.65,274.55,919.97,878.1,2326.81
CRUISE LLC,AVDT005,5G21A6P09L4100165,0,0,0,0,0,317.32,979.37,723.21,141.39,0,273.06,37.46,0,2471.81
CRUISE LLC,AVDT005,5G21A6P03P4100099,0,0,0,0,0,0,0,0,0,0,396.09,884.19,1036.73,2317.01
CRUISE LLC,AVDT005,5G21A6P01P4100084,0,0,0,0,0,0,0,0,0,0,363.74,824.14,1089.47,2277.35
CRUISE LLC,AVDT005,5G21A6P01P4100053,0,0,0,0,0,0,0,0,0,0,209.3,898.6,1040.37,2148.27
CRUISE LLC,AVDT005,5G21A6P02N4122107,0,0,0,0,0,0,0,0,277.46,116.67,76.22,821.57,784.36,2076.28
CRUISE LLC,AVDT005,5G21A6P08N4123715,0,0,0,0,0,0,0,0,323.97,120.5,721.16,98.12,922.98,2186.73
CRUISE LLC,AVDT005,5G21A6P03N4122102,0,0,0,0,0,0,0,0,134.18,326.88,832.38,686.59,0,1980.03
CRUISE LLC,AVDT005,5G21A6P00P4100075,0,0,0,0,0,0,0,0,0,0,246.09,609.14,1027.64,1882.87
CRUISE LLC,AVDT005,5G21A6P02P4100076,0,0,0,0,0,0,0,0,0,0,55.75,875.87,999.83,1931.45
CRUISE LLC,AVDT005,5G21A6P03P4100068,0,0,0,0,0,0,0,0,0,0,126.55,839.99,957.77,1924.31
CRUISE LLC,AVDT005,5G21A6P04N4122108,0,0,0,0,0,0,0,0,138.96,122.27,664.89,249.71,773.57,1949.4
CRUISE LLC,AVDT005,5G21A6P00N4121652,0,0,0,0,0,0,0,0,129.07,445.75,438.76,705.58,201.55,1920.71
CRUISE LLC,AVDT005,5G21A6P07P4100073,0,0,0,0,0,0,0,0,0,0,206.71,616.73,877,1700.44
CRUISE LLC,AVDT005,5G21A6P03N4121628,0,0,0,0,0,0,0,54.28,433.05,379.67,51.32,267.22,659.26,1844.8
CRUISE LLC,AVDT005,5G21A6P04N4121637,0,0,0,0,0,0,0,365.07,234.72,420.72,324.63,0,348.92,1694.06
CRUISE LLC,AVDT005,5G21A6P02P4100126,0,0,0,0,0,0,0,0,0,0,458.18,832.49,419.07,1709.74
CRUISE LLC,AVDT005,5G21A6P00P4100061,0,0,0,0,0,0,0,0,0,0,0,679.42,942.29,1621.71
CRUISE LLC,AVDT005,5G21A6P00P4100092,0,0,0,0,0,0,0,0,0,0,424.96,796.18,361.36,1582.5
CRUISE LLC,AVDT005,5G21A6P06P4100064,0,0,0,0,0,0,0,0,0,0,0,309.38,1201.19,1510.57
CRUISE LLC,AVDT005,5G21A6P0XP4100116,0,0,0,0,0,0,0,0,0,0,0,327.56,1196.04,1523.6
CRUISE LLC,AVDT005,5G21A6P02N4121670,0,0,0,0,0,0,0,212.59,154.35,497.23,448.92,363.2,0,1676.29
CRUISE LLC,AVDT005,5G21A6P03N4122097,0,0,0,0,0,0,0,0,52.8,157.64,778,55.02,553.87,1597.33
CRUISE LLC,AVDT005,5G21A6P0XL4100076,0,0,0,0,0,0,0,0,74.47,239.99,0,784.12,385.52,1484.1
CRUISE LLC,AVDT005,5G21A6P02P4100059,0,0,0,0,0,0,0,0,0,0,158.03,802.26,515.78,1476.07
CRUISE LLC,AVDT005,5G21A6P0XP4100066,0,0,0,0,0,0,0,0,0,0,0,600.22,947.82,1548.04
